Ano,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
2013,0.266993973,0.374256537,0.172961459,0.105562489,0.043737033,0.024132007,0.010528323,0.012950751,0.00940501,0.106351012,0.105415935,0.31702643
2014,0.37535758,0.264718063,0.110173632,0.119759576,0.045660738,0.020905438,0.011003079,0.006433826,0.008802379,0.020100023,0.006893767,0.245565711
2015,0.448920475,0.17994216,0.204297788,0.151781189,0.049931005,0.021287099,0.013020981,0.00984097,0.022472426,0.018888295,0.060665696,0.221708877
2016,0.23784219,0.522359636,0.142500227,0.11995683,0.047501708,0.022160232,0.01282834,0.010446787,0.013855904,0.063870624,0.045672763,0.175433292
2017,0.240759947,0.315594326,0.381196081,0.159982374,0.053275098,0.02247146,0.011052821,0.0117399,0.012615616,0.034247699,0.064276641,0.123548294
